location,date,new_cases
Cavite,2020-04-28,1
Cavite,2020-04-29,19
Cavite,2020-04-30,3
Cavite,2020-05-01,2
Cavite,2020-05-02,1
Cavite,2020-05-03,2
Cavite,2020-05-04,2
Cavite,2020-05-05,2
Cavite,2020-05-06,1
Cavite,2020-05-07,3
Cavite,2020-05-08,1
Cavite,2020-05-09,1
Cavite,2020-05-10,1
Cavite,2020-05-11,5
Cavite,2020-05-12,3
Cavite,2020-05-13,2
Cavite,2020-05-14,2
Cavite,2020-05-15,1
Cebu,2020-03-18,1
Cebu,2020-03-19,0
Cebu,2020-03-20,0
Cebu,2020-03-21,0
Cebu,2020-03-22,0
Cebu,2020-03-23,0
Cebu,2020-03-24,0
Cebu,2020-03-25,0
Cebu,2020-03-26,0
Cebu,2020-03-27,0
Cebu,2020-03-28,0
Cebu,2020-03-29,0
Cebu,2020-03-30,0
Cebu,2020-03-31,24
Cebu,2020-04-01,1
Cebu,2020-04-02,4
Cebu,2020-04-03,0
Cebu,2020-04-04,0
Cebu,2020-04-05,0
Cebu,2020-04-06,2
Cebu,2020-04-07,0
Cebu,2020-04-08,0
Cebu,2020-04-09,0
Cebu,2020-04-10,1
Cebu,2020-04-11,0
Cebu,2020-04-12,2
Cebu,2020-04-13,0
Cebu,2020-04-14,0
Cebu,2020-04-15,7
Cebu,2020-04-16,21
Cebu,2020-04-17,27
Cebu,2020-04-18,2
Cebu,2020-04-19,18
Cebu,2020-04-20,27
Cebu,2020-04-21,52
Cebu,2020-04-22,13
Cebu,2020-04-23,142
Cebu,2020-04-24,22
Cebu,2020-04-25,31
Cebu,2020-04-26,64
Cebu,2020-04-27,39
Cebu,2020-04-28,32
Cebu,2020-04-29,3
Cebu,2020-04-30,107
Cebu,2020-05-01,131
Cebu,2020-05-02,93
Cebu,2020-05-03,120
Cebu,2020-05-04,88
Cebu,2020-05-05,2
Cebu,2020-05-06,103
Cebu,2020-05-07,205
Cebu,2020-05-08,36
Cebu,2020-05-09,17
Cebu,2020-05-10,76
Cebu,2020-05-11,79
Cebu,2020-05-12,74
Cebu,2020-05-13,59
Cebu,2020-05-14,16
Cebu,2020-05-15,1
Compostela Valley,2020-03-15,1
Compostela Valley,2020-03-16,0
Compostela Valley,2020-03-17,0
Compostela Valley,2020-03-18,0
Compostela Valley,2020-03-19,0
Compostela Valley,2020-03-20,0
Compostela Valley,2020-03-21,0
Compostela Valley,2020-03-22,0
Compostela Valley,2020-03-23,0
Compostela Valley,2020-03-24,0
Compostela Valley,2020-03-25,0
Compostela Valley,2020-03-26,0
Compostela Valley,2020-03-27,0
Compostela Valley,2020-03-28,0
Compostela Valley,2020-03-29,0
Compostela Valley,2020-03-30,0
Compostela Valley,2020-03-31,0
Compostela Valley,2020-04-01,0
Compostela Valley,2020-04-02,0
Compostela Valley,2020-04-03,0
Compostela Valley,2020-04-04,0
Compostela Valley,2020-04-05,0
Compostela Valley,2020-04-06,0
Compostela Valley,2020-04-07,0
Compostela Valley,2020-04-08,1
Davao Occidental,2020-05-06,1
Davao Oriental,2020-03-30,2
Davao Oriental,2020-03-31,0
Davao Oriental,2020-04-01,1
Davao del Norte,2020-03-30,3
Davao del Norte,2020-03-31,1
Davao del Norte,2020-04-01,3
Davao del Norte,2020-04-02,0
Davao del Norte,2020-04-03,0
Davao del Norte,2020-04-04,0
Davao del Norte,2020-04-05,3
Davao del Norte,2020-04-06,0
Davao del Norte,2020-04-07,0
Davao del Norte,2020-04-08,0
Davao del Norte,2020-04-09,1
Davao del Norte,2020-04-10,0
Davao del Norte,2020-04-11,0
Davao del Norte,2020-04-12,0
